Yil,Ay,Gun,Saat,Sicaklik
Y2023,Ocak,D22,T2100,0.9402454
Y2023,Ocak,D22,T2200,0.5102454
Y2023,Ocak,D22,T2300,0.4002454
Y2023,Ocak,D23,T0000,0.4802454
Y2023,Ocak,D23,T0100,0.7202454
Y2023,Ocak,D23,T0200,0.6702454
Y2023,Ocak,D23,T0300,0.7902454
Y2023,Ocak,D23,T0400,0.84024537
Y2023,Ocak,D23,T0500,0.7402454
Y2023,Ocak,D23,T0600,0.7302454
Y2023,Ocak,D23,T0700,0.6002454
Y2023,Ocak,D23,T0800,0.7302454
Y2023,Ocak,D23,T0900,0.8302454
Y2023,Ocak,D23,T1000,1.6702454
Y2023,Ocak,D23,T1100,2.0802455
Y2023,Ocak,D23,T1200,2.4002454
Y2023,Ocak,D23,T1300,2.7202454
Y2023,Ocak,D23,T1400,2.9002452
Y2023,Ocak,D23,T1500,2.9902453
Y2023,Ocak,D23,T1600,2.8802452
Y2023,Ocak,D23,T1700,2.9702454
Y2023,Ocak,D23,T1800,3.0102453
Y2023,Ocak,D23,T1900,3.1902456
Y2023,Ocak,D23,T2000,3.2502456
Y2023,Ocak,D23,T2100,3.4202452
Y2023,Ocak,D23,T2200,3.4602456
Y2023,Ocak,D23,T2300,3.5302453
Y2023,Ocak,D24,T0000,3.5202456
Y2023,Ocak,D24,T0100,3.6402454
Y2023,Ocak,D24,T0200,3.5602455
Y2023,Ocak,D24,T0300,3.4202452
Y2023,Ocak,D24,T0400,3.3202453
Y2023,Ocak,D24,T0500,3.2602453
Y2023,Ocak,D24,T0600,3.2702456
Y2023,Ocak,D24,T0700,3.1702452
Y2023,Ocak,D24,T0800,3.3002453
Y2023,Ocak,D24,T0900,3.4002452
Y2023,Ocak,D24,T1000,3.8702455
Y2023,Ocak,D24,T1100,4.2302456
Y2023,Ocak,D24,T1200,4.630245
Y2023,Ocak,D24,T1300,4.920245
Y2023,Ocak,D24,T1400,5.040245
Y2023,Ocak,D24,T1500,4.9902453
Y2023,Ocak,D24,T1600,3.9002452
Y2023,Ocak,D24,T1700,3.7702456
Y2023,Ocak,D24,T1800,3.4502454
Y2023,Ocak,D24,T1900,3.3902454
Y2023,Ocak,D24,T2000,3.4802456
Y2023,Ocak,D24,T2100,3.1002455
Y2023,Ocak,D24,T2200,2.5902452
Y2023,Ocak,D24,T2300,3.1802454
Y2023,Ocak,D25,T0000,2.5802455
Y2023,Ocak,D25,T0100,2.7002454
Y2023,Ocak,D25,T0200,2.5402455
Y2023,Ocak,D25,T0300,2.5902452
Y2023,Ocak,D25,T0400,2.7102456
Y2023,Ocak,D25,T0500,2.3202453
Y2023,Ocak,D25,T0600,2.4602454
Y2023,Ocak,D25,T0700,2.2802453
Y2023,Ocak,D25,T0800,2.6202455
Y2023,Ocak,D25,T0900,2.8302455
Y2023,Ocak,D25,T1000,3.0402455
Y2023,Ocak,D25,T1100,3.1002455
Y2023,Ocak,D25,T1200,3.3102455
Y2023,Ocak,D25,T1300,3.4902453
Y2023,Ocak,D25,T1400,3.5702453
Y2023,Ocak,D25,T1500,3.6002455
Y2023,Ocak,D25,T1600,2.7902455
Y2023,Ocak,D25,T1700,3.5602455
Y2023,Ocak,D25,T1800,3.3902454
Y2023,Ocak,D25,T1900,3.2502456
Y2023,Ocak,D25,T2000,3.1302452
Y2023,Ocak,D25,T2100,2.6302452
Y2023,Ocak,D25,T2200,2.4202454
Y2023,Ocak,D25,T2300,1.8802454
Y2023,Ocak,D26,T0000,1.4702454
Y2023,Ocak,D26,T0100,0.8002454
Y2023,Ocak,D26,T0200,0.7202454
Y2023,Ocak,D26,T0300,0.6802454
Y2023,Ocak,D26,T0400,0.2802454
Y2023,Ocak,D26,T0500,0.5802454
Y2023,Ocak,D26,T0600,0.5302454
Y2023,Ocak,D26,T0700,0.64024544
Y2023,Ocak,D26,T0800,0.4502454
Y2023,Ocak,D26,T0900,0.4902454
